@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE point_cloud0 numeric
@ATTRIBUTE point_cloud1 numeric
@ATTRIBUTE point_cloud2 numeric
@ATTRIBUTE point_cloud3 numeric
@ATTRIBUTE point_cloud4 numeric
@ATTRIBUTE point_cloud5 numeric
@ATTRIBUTE point_cloud6 numeric
@ATTRIBUTE point_cloud7 numeric
@ATTRIBUTE point_cloud8 numeric
@ATTRIBUTE point_cloud9 numeric
@ATTRIBUTE point_cloud10 numeric
@ATTRIBUTE point_cloud11 numeric
@ATTRIBUTE point_cloud12 numeric
@ATTRIBUTE point_cloud13 numeric
@ATTRIBUTE point_cloud14 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.017639,-0.032226,-0.100820,0.123489,0.049557,-0.161228,0.149062,0.054149,-0.052493,0.201150,-0.020056,-0.058713,-0.103555,0.012228,0.055240,-0.061006,-0.053931,-0.022994,-0.025081,0.065595,126.353595,332.707714,75.481916,74.891595,30.466816,57.264203,-0.974862,-0.157616,0.157485,0.136794,-0.981310,-0.135347,0.513474,0.719599,0.467463,A
-0.088806,-0.092143,-0.130806,0.225578,0.044664,-0.164639,0.204361,0.142784,-0.000902,0.156474,-0.017895,-0.096467,-0.070957,0.007456,0.072987,-0.060468,-0.063453,-0.018773,-0.030157,0.068456,122.726706,291.699164,68.816930,71.037589,27.905149,54.768628,-0.996173,0.014108,0.086253,-0.086741,-0.038698,-0.995479,0.518944,0.712386,0.472444,A
-0.257050,-0.009835,0.098766,-0.040790,0.100325,-0.106592,0.213877,0.083777,-0.032513,0.134489,-0.003452,-0.076145,-0.033059,-0.013485,0.058474,-0.066038,-0.065455,-0.027671,-0.034427,0.074949,238.673290,236.193466,105.670722,119.816134,55.817280,27.901359,0.999914,0.012202,0.004878,0.012454,-0.998380,-0.055511,0.726607,0.568847,0.385299,A
-0.211781,-0.081015,0.061632,-0.027521,0.123349,-0.140680,0.203685,0.088163,0.016750,0.152837,-0.059325,-0.076718,-0.067119,0.028116,0.066391,-0.068368,-0.049758,-0.014081,-0.028254,0.071015,225.703151,234.956784,106.230014,109.463377,60.938022,29.602310,-0.989050,-0.145857,-0.022494,-0.145962,0.989285,0.003107,0.716573,0.584927,0.379978,A
-0.327825,-0.080176,0.052580,0.195577,0.131654,-0.198759,0.128556,0.108361,-0.012629,0.203676,-0.003614,-0.060710,-0.045710,0.008451,0.061037,-0.073532,-0.051127,-0.021281,-0.036043,0.066943,245.873731,282.865048,31.146239,113.477948,46.190165,50.996858,0.999611,0.023762,0.014593,0.022051,-0.353283,-0.935257,0.686617,0.629280,0.364093,A
-0.332992,-0.059195,0.048198,0.124694,0.108666,-0.146166,0.239392,0.115825,-0.038131,0.193665,0.034621,-0.063389,-0.032057,-0.001016,0.051081,-0.037004,-0.061499,-0.018092,-0.040504,0.062759,245.631639,279.617030,33.604726,108.006056,50.080695,52.714925,0.998520,0.054388,-0.000478,-0.048261,0.890019,0.453363,0.721590,0.576971,0.382639,A
-0.090265,0.048128,0.002892,0.108206,0.069692,-0.203126,0.218765,0.099730,0.009177,0.143351,0.021935,-0.053284,-0.051289,0.010798,0.077179,-0.075668,-0.058573,-0.018964,-0.023133,0.057351,252.192957,199.918551,88.350277,92.245374,32.923499,38.925848,0.999162,0.035325,0.020674,-0.036337,0.998047,0.050811,0.774664,0.461393,0.432450,A
-0.210564,-0.172122,-0.035340,0.060136,0.150859,-0.070308,0.212293,0.093188,0.022465,0.162421,-0.000362,-0.070655,-0.057903,0.016061,0.063923,-0.051773,-0.064181,-0.016546,-0.038400,0.066624,207.822494,253.698669,90.413914,74.387177,61.007383,38.172280,-0.932831,0.358321,0.037841,0.360138,0.923938,0.128992,0.587099,0.709730,0.389355,A
-0.193190,-0.015182,0.002767,0.068953,0.077436,-0.158465,0.261222,0.066738,-0.026269,0.131285,0.001693,-0.047793,-0.049063,-0.007415,0.058016,-0.080954,-0.048890,-0.026510,-0.023533,0.071907,267.718910,244.421635,90.444940,104.647786,43.803460,37.940045,0.999660,-0.024232,-0.009579,-0.026023,-0.947007,-0.320157,0.721590,0.576971,0.382639,A
-0.171329,-0.036082,-0.050090,0.200526,0.095814,-0.210656,0.200444,0.052312,-0.025076,0.182687,0.014336,-0.053464,-0.074301,-0.010389,0.077234,-0.054937,-0.065186,-0.024763,-0.029761,0.076722,255.430117,222.957183,67.296255,85.970927,30.763720,44.879929,-0.997259,-0.054796,0.049724,-0.055868,0.116994,-0.991560,0.753315,0.492486,0.435859,A
-0.121307,-0.053129,-0.055985,0.131174,0.112998,-0.183871,0.222031,0.073118,-0.000307,0.150208,-0.020880,-0.074572,-0.074160,-0.010696,0.056767,-0.097643,-0.069204,-0.010614,-0.024485,0.059337,250.237285,217.848584,72.312377,82.427612,36.667226,46.748693,0.999804,-0.001596,-0.019720,-0.019766,-0.123935,-0.992093,0.718054,0.563841,0.408022,A
-0.179736,-0.148613,-0.145267,0.207934,0.123479,-0.101162,0.221264,0.129720,0.002965,0.166834,-0.002150,-0.080484,-0.050794,0.008838,0.055689,-0.052538,-0.052101,-0.032542,-0.023480,0.073444,125.318331,310.104501,31.234648,77.309733,37.905812,70.020929,0.973662,-0.171303,0.150455,0.184171,0.979942,-0.076126,0.476964,0.764168,0.434225,A
-0.117077,0.089144,0.035836,0.228192,0.156579,-0.173199,0.253223,0.106632,0.002095,0.219358,-0.035914,-0.063500,-0.045771,0.005576,0.048150,-0.055373,-0.040803,-0.024842,-0.036110,0.057322,269.450453,164.768717,27.879087,106.190272,38.518722,47.403597,0.999979,0.006417,0.000545,-0.006220,0.984273,-0.176543,0.794890,0.436443,0.421507,A
-0.422062,-0.134754,0.002860,0.186816,0.125353,-0.154495,0.124991,0.121698,0.007380,0.158371,-0.006531,-0.085560,-0.042080,-0.042730,0.024845,-0.092263,-0.042815,-0.019767,-0.031952,0.070480,259.977753,191.346258,29.339247,110.859709,59.775108,46.184285,0.998959,-0.044210,0.011231,-0.041237,-0.980535,-0.191964,0.706550,0.600346,0.374663,A
-0.039129,-0.052297,-0.104648,0.281080,0.101376,-0.110151,0.220879,0.093972,0.001783,0.141453,-0.022854,-0.076917,-0.057616,0.006123,0.055211,-0.065408,-0.058822,-0.020718,-0.030894,0.078804,131.612083,306.497594,32.024156,75.798272,31.407279,71.150601,0.935378,-0.028659,0.352486,0.353290,0.030831,-0.935006,0.530064,0.697253,0.482567,A
0.208200,0.153269,-0.035356,0.095572,0.002822,-0.121079,0.161544,0.160328,0.017277,0.164012,-0.050677,-0.047080,-0.040337,-0.027363,0.060151,-0.060302,-0.085431,-0.030813,-0.029066,0.065223,129.970989,294.490470,64.789083,69.574501,22.215039,55.852285,-0.993474,-0.062229,0.095585,0.060269,-0.997911,-0.023261,0.536023,0.678436,0.502398,A
0.027688,0.026350,-0.080193,0.110628,-0.027134,-0.164589,0.161074,0.098416,-0.015265,0.159129,-0.029624,-0.078606,-0.023292,0.022935,0.051503,-0.055085,-0.028906,-0.036495,-0.040430,0.073310,123.795984,293.071544,64.202400,72.162352,24.964719,56.750511,-0.976353,0.041119,0.212234,0.213074,0.017204,0.976885,0.507945,0.717871,0.476081,A
0.055888,0.013250,-0.100456,0.146318,0.061470,-0.194791,0.236223,0.098538,0.030162,0.123738,-0.015545,-0.056866,-0.084316,-0.002262,0.021797,-0.054862,-0.052404,-0.018283,-0.049152,0.063152,128.427130,293.835856,63.028733,68.461599,25.587319,54.555191,-0.982980,0.032188,0.180869,-0.182014,-0.037145,-0.982594,0.507945,0.717871,0.476081,A
0.158307,0.147086,-0.054278,0.106601,0.095106,-0.165377,0.180923,0.151512,-0.010435,0.176003,-0.023051,-0.048180,-0.071517,-0.007322,0.035958,-0.059439,-0.062380,-0.007543,-0.030383,0.077429,126.812395,296.019003,62.831460,69.661988,23.077787,54.079544,-0.985266,-0.087023,0.147234,-0.150492,0.032109,-0.988090,0.547158,0.672671,0.498129,A
0.025826,-0.047296,-0.112322,0.050587,0.006881,-0.167488,0.160631,0.034270,-0.040446,0.184204,-0.028927,-0.049088,-0.040966,0.001945,0.038926,-0.065715,-0.058927,-0.012002,-0.039453,0.062724,126.772936,290.380171,70.458547,74.095729,28.937035,57.761983,-0.970216,-0.150275,0.189995,0.142793,-0.988356,-0.052552,0.541408,0.681126,0.492895,A
-0.043327,-0.055312,-0.143903,0.179313,0.074595,-0.184165,0.199172,0.108904,-0.008327,0.182868,-0.003675,-0.078406,-0.038050,-0.001650,0.049421,-0.071695,-0.055608,-0.017266,-0.035751,0.060059,123.777295,288.982886,67.145884,73.070851,29.409751,55.894444,-0.990363,0.057348,0.126068,-0.051247,-0.997377,0.051118,0.508064,0.726587,0.462539,A
0.400545,-0.027225,-0.151421,0.084073,0.194620,-0.191432,0.139322,0.085072,-0.003473,0.152180,0.014744,-0.084077,-0.039517,0.010762,0.047770,-0.064490,-0.075510,-0.015476,-0.033262,0.072471,207.526028,376.354744,68.655961,39.374173,28.462002,54.246894,-0.999226,0.025783,0.029696,-0.029035,0.025647,-0.999249,0.482614,0.757653,0.439369,B
0.382982,-0.047621,-0.138494,0.120123,0.204179,-0.175721,0.167841,0.073441,0.012917,0.196172,-0.008990,-0.073174,-0.034078,0.001123,0.059372,-0.072838,-0.058354,-0.028972,-0.037740,0.066984,210.184661,437.220720,81.500599,41.097849,32.571247,56.552359,-0.996464,0.004119,0.083915,0.083954,0.087118,0.992654,0.444843,0.804438,0.393694,B
0.375689,-0.026220,-0.109121,0.097012,0.182738,-0.195817,0.170210,0.086115,0.004170,0.130250,-0.019966,-0.085229,-0.045562,0.004156,0.054264,-0.048745,-0.061043,-0.023415,-0.037560,0.069216,206.128474,432.029590,75.819013,41.660710,28.202484,54.677589,0.999861,0.013821,-0.009309,-0.013742,0.999870,0.008471,0.458447,0.790701,0.405733,B
