@RELATION DepthMaps 
@ATTRIBUTE point_cloud0 numeric
@ATTRIBUTE point_cloud1 numeric
@ATTRIBUTE point_cloud2 numeric
@ATTRIBUTE point_cloud3 numeric
@ATTRIBUTE point_cloud4 numeric
@ATTRIBUTE point_cloud5 numeric
@ATTRIBUTE point_cloud6 numeric
@ATTRIBUTE point_cloud7 numeric
@ATTRIBUTE point_cloud8 numeric
@ATTRIBUTE point_cloud9 numeric
@ATTRIBUTE point_cloud10 numeric
@ATTRIBUTE point_cloud11 numeric
@ATTRIBUTE point_cloud12 numeric
@ATTRIBUTE point_cloud13 numeric
@ATTRIBUTE point_cloud14 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
126.353595,332.707714,75.481916,74.891595,30.466816,57.264203,-0.974862,-0.157616,0.157485,0.136794,-0.981310,-0.135347,0.513474,0.719599,0.467463,A
122.726706,291.699164,68.816930,71.037589,27.905149,54.768628,-0.996173,0.014108,0.086253,-0.086741,-0.038698,-0.995479,0.518944,0.712386,0.472444,A
238.673290,236.193466,105.670722,119.816134,55.817280,27.901359,0.999914,0.012202,0.004878,0.012454,-0.998380,-0.055511,0.726607,0.568847,0.385299,A
225.703151,234.956784,106.230014,109.463377,60.938022,29.602310,-0.989050,-0.145857,-0.022494,-0.145962,0.989285,0.003107,0.716573,0.584927,0.379978,A
245.873731,282.865048,31.146239,113.477948,46.190165,50.996858,0.999611,0.023762,0.014593,0.022051,-0.353283,-0.935257,0.686617,0.629280,0.364093,A
245.631639,279.617030,33.604726,108.006056,50.080695,52.714925,0.998520,0.054388,-0.000478,-0.048261,0.890019,0.453363,0.721590,0.576971,0.382639,A
252.192957,199.918551,88.350277,92.245374,32.923499,38.925848,0.999162,0.035325,0.020674,-0.036337,0.998047,0.050811,0.774664,0.461393,0.432450,A
207.822494,253.698669,90.413914,74.387177,61.007383,38.172280,-0.932831,0.358321,0.037841,0.360138,0.923938,0.128992,0.587099,0.709730,0.389355,A
267.718910,244.421635,90.444940,104.647786,43.803460,37.940045,0.999660,-0.024232,-0.009579,-0.026023,-0.947007,-0.320157,0.721590,0.576971,0.382639,A
255.430117,222.957183,67.296255,85.970927,30.763720,44.879929,-0.997259,-0.054796,0.049724,-0.055868,0.116994,-0.991560,0.753315,0.492486,0.435859,A
250.237285,217.848584,72.312377,82.427612,36.667226,46.748693,0.999804,-0.001596,-0.019720,-0.019766,-0.123935,-0.992093,0.718054,0.563841,0.408022,A
125.318331,310.104501,31.234648,77.309733,37.905812,70.020929,0.973662,-0.171303,0.150455,0.184171,0.979942,-0.076126,0.476964,0.764168,0.434225,A
269.450453,164.768717,27.879087,106.190272,38.518722,47.403597,0.999979,0.006417,0.000545,-0.006220,0.984273,-0.176543,0.794890,0.436443,0.421507,A
