@relation InstanceResultListener

@attribute Key_Dataset {DepthMaps}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-I 100 -K 0 -S 1'}
@attribute Key_Scheme_version_ID {-2260823972777004705}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

DepthMaps,1,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.162667,0.238886,59.151515,65.262571,5.034216,2.265275,2.768941,1.678072,0.755092,0.92298,2.768941,0.92298,146.839458,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.01,0,0.0156,0,97125,8581,3853,?,0.37037
DepthMaps,1,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.193333,0.292005,70.30303,79.77422,5.034216,3.069319,1.964897,1.678072,1.023106,0.654966,1.964897,0.654966,104.200295,0,0,0,0,1,2,1,1,0,0,0,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.75,0.011,0,0.0156,0,100536,8581,3853,?,0.333333
DepthMaps,1,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.189333,0.2955,68.848485,80.72904,5.034216,3.177229,1.856987,1.678072,1.059076,0.618996,2.053384,0.684461,108.892831,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0,0,96279,8581,3853,?,0.333333
DepthMaps,1,4,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.205333,0.303117,74.666667,82.81012,5.034216,3.384192,1.650024,1.678072,1.128064,0.550008,1.650024,0.550008,87.502272,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.01,0,0,0,93199,8581,3853,?,0.333333
DepthMaps,1,5,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.209333,0.303249,76.121212,82.846164,5.034216,3.274515,1.7597,1.678072,1.091505,0.586567,1.7597,0.586567,93.318526,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0.0156,0,99898,8581,3853,?,0.333333
DepthMaps,1,6,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.181333,0.255943,65.939394,69.922295,5.034216,2.65996,2.374256,1.678072,0.886653,0.791419,2.374256,0.791419,125.908979,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100340,8581,3853,?,0.481481
DepthMaps,1,7,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.197333,0.333227,71.757576,91.035891,5.034216,3.608232,1.425983,1.678072,1.202744,0.475328,1.851199,0.617066,98.170801,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.666667,0.01,0,0.0156,0,94414,8581,3853,?,0.259259
DepthMaps,1,8,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.174667,0.259512,63.515152,70.897509,5.034216,2.586753,2.447463,1.678072,0.862251,0.815821,2.447463,0.815821,129.791219,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0,0,100315,8581,3853,?,0.444444
DepthMaps,1,9,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.210667,0.331059,76.606061,90.443675,5.034216,3.532825,1.501391,1.678072,1.177608,0.500464,1.534289,0.51143,81.364771,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.012,0,0,0,99800,8581,3853,?,0.333333
DepthMaps,1,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.166667,0.258792,60.606061,70.700727,5.034216,2.553714,2.480502,1.678072,0.851238,0.826834,2.480502,0.826834,131.543277,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.916667,0.011,0,0.0156,0,100242,8581,3853,?,0.481481
DepthMaps,2,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.184,0.269592,66.909091,73.651294,5.034216,2.734928,2.299288,1.678072,0.911643,0.766429,2.299288,0.766429,121.933337,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,95641,8581,3853,?,0.444444
DepthMaps,2,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.189333,0.283807,68.848485,77.534807,5.034216,3.120043,1.914172,1.678072,1.040014,0.638057,2.038532,0.679511,108.105245,0,0,0,0,1,2,1,1,0,0,0,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.011,0,0.0156,0,101800,8581,3853,?,0.481481
DepthMaps,2,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.137333,0.209921,49.939394,57.349287,5.034216,1.864076,3.170139,1.678072,0.621359,1.056713,3.170139,1.056713,168.115397,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100990,8581,3853,?,0.444444
