@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.001956,0.077699,0.073637,-0.074927,-0.001659,-0.077941,0.010888,0.137546,-0.112102,-0.154874,0.176158,0.030892,-0.156723,0.033347,0.082514,-0.037598,-0.047444,-0.007481,-0.059533,-0.010447,A
0.103276,0.184288,0.048542,-0.144810,-0.033264,-0.192175,0.028883,0.102654,-0.144044,-0.134618,0.188683,0.047065,-0.141950,0.030509,0.084645,-0.039853,-0.048938,-0.019894,-0.061683,-0.014613,A
0.180547,0.221209,0.060169,-0.196106,0.014574,-0.183863,0.060487,0.148289,-0.092142,-0.134670,0.122930,0.059373,-0.131000,0.045964,0.066313,-0.033958,-0.045380,-0.005833,-0.058886,-0.013590,A
0.077106,0.134373,0.043871,-0.226948,0.004380,-0.171726,0.027019,0.055009,-0.089451,-0.139153,0.152889,0.046744,-0.163318,0.059612,0.093050,-0.036869,-0.038802,-0.010784,-0.060706,-0.012727,A
-0.153475,-0.137936,0.022700,-0.017217,-0.042860,-0.207241,-0.002729,0.088484,-0.072782,-0.158689,0.162548,0.060198,-0.139298,0.048375,0.067914,-0.035531,-0.042278,-0.006288,-0.059151,-0.017674,A
0.004459,0.026829,0.052291,-0.037549,-0.024335,-0.155800,0.036354,0.082326,-0.091981,-0.113495,0.166449,0.053677,-0.156806,0.030944,0.076635,-0.021758,-0.026020,-0.004708,-0.057727,-0.004872,A
0.021131,0.070230,0.080341,-0.102118,-0.003269,-0.166482,0.047748,0.085935,-0.071816,-0.129549,0.183488,0.060823,-0.130919,0.047391,0.099177,-0.028205,-0.059644,-0.005129,-0.056369,-0.013569,A
-0.148979,-0.073188,0.016040,-0.135377,-0.015484,-0.219931,0.060282,0.128845,-0.066138,-0.143552,0.174007,0.029491,-0.167271,0.037375,0.082025,-0.050244,-0.046596,-0.010553,-0.059380,-0.017780,A
-0.026373,0.076500,0.080648,-0.014167,0.012218,-0.092716,0.043674,0.118641,-0.057564,-0.135503,0.144813,0.064367,-0.154329,0.042714,0.098216,-0.039702,-0.044579,-0.017150,-0.058730,-0.020082,A
0.089186,0.153673,0.072954,-0.122034,0.002534,-0.164273,0.055481,0.105084,-0.121933,-0.142618,0.180124,0.058523,-0.168898,0.054448,0.084604,-0.029229,-0.033465,-0.001701,-0.048041,-0.023140,A
