@RELATION DepthMaps 
@ATTRIBUTE shape_context3D0 numeric
@ATTRIBUTE shape_context3D1 numeric
@ATTRIBUTE shape_context3D2 numeric
@ATTRIBUTE shape_context3D3 numeric
@ATTRIBUTE shape_context3D4 numeric
@ATTRIBUTE shape_context3D5 numeric
@ATTRIBUTE shape_context3D6 numeric
@ATTRIBUTE shape_context3D7 numeric
@ATTRIBUTE shape_context3D8 numeric
@ATTRIBUTE shape_context3D9 numeric
@ATTRIBUTE shape_context3D10 numeric
@ATTRIBUTE shape_context3D11 numeric
@ATTRIBUTE shape_context3D12 numeric
@ATTRIBUTE shape_context3D13 numeric
@ATTRIBUTE shape_context3D14 numeric
@ATTRIBUTE shape_context3D15 numeric
@ATTRIBUTE shape_context3D16 numeric
@ATTRIBUTE shape_context3D17 numeric
@ATTRIBUTE shape_context3D18 numeric
@ATTRIBUTE shape_context3D19 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.000000,0.081131,0.303942,-0.014103,-0.008312,-0.061774,0.039124,-0.072248,-0.024235,-0.002987,0.001553,-0.011625,0.015001,-0.017307,-0.015602,0.009139,-0.101087,-0.059751,-0.048045,-0.009459,A
0.000000,-0.105550,0.126371,0.019287,0.019282,0.038272,0.057975,-0.067993,-0.066904,0.071985,-0.020641,-0.021105,0.014493,-0.021743,-0.003769,-0.011949,-0.098908,-0.059257,-0.048076,-0.009411,A
0.000000,0.102846,0.032463,-0.104573,0.091826,0.075432,0.045344,0.027324,-0.057352,0.013507,-0.007977,-0.016547,0.006935,-0.015480,-0.007623,0.001275,-0.099352,-0.059422,-0.047590,-0.009309,A
0.000000,0.074272,0.070060,-0.152852,0.116335,0.062421,0.024416,-0.040615,-0.065047,0.013976,-0.005806,-0.030489,-0.000513,-0.009999,-0.005885,0.015615,-0.100394,-0.059320,-0.048260,-0.009413,A
0.000000,-0.148087,0.002685,0.087568,0.015247,0.057728,0.015027,-0.028538,-0.039935,0.060650,-0.031051,0.013020,0.000763,-0.010815,-0.001955,-0.003129,-0.100225,-0.059400,-0.047795,-0.009307,A
0.000000,-0.100866,0.039727,0.031521,-0.002852,0.097258,0.026410,-0.021841,-0.043342,0.027402,0.004628,-0.011425,0.027422,-0.033604,0.004805,-0.008954,-0.100918,-0.059286,-0.047808,-0.009448,A
0.000000,-0.028966,0.066536,-0.173722,-0.019412,0.063796,-0.019286,-0.018995,0.004941,0.019850,-0.022830,0.010084,-0.016020,-0.022780,-0.016689,-0.004054,-0.099802,-0.059479,-0.047858,-0.009275,A
0.000000,0.138078,0.025443,-0.037198,-0.004356,-0.027251,0.096316,0.019908,-0.125386,0.009741,-0.033927,0.008260,-0.012733,-0.028011,0.002280,0.004533,-0.100262,-0.059046,-0.047726,-0.009322,A
0.000000,0.138272,0.009550,-0.034888,-0.079842,-0.028727,0.061912,-0.024747,-0.069473,0.037515,-0.053701,-0.034208,-0.013228,-0.012958,-0.003410,0.012204,-0.100043,-0.059436,-0.047940,-0.009333,A
0.000000,-0.091814,0.103262,-0.072288,-0.030933,0.047519,0.007886,-0.022320,-0.043770,0.029668,-0.036882,-0.000891,0.002961,-0.007244,-0.018335,-0.014926,-0.100606,-0.059933,-0.047844,-0.009452,A
